grade_biologi_odd,kkm_biologi_odd,grade_biologi_even,kkm_biologi_even,grade_fisika_odd,kkm_fisika_odd,grade_fisika_even,kkm_fisika_even,grade_kimia_odd,kkm_kimia_odd,grade_kimia_even,kkm_kimia_even,grade_sosiologi_odd,kkm_sosiologi_odd,grade_sosiologi_even,kkm_sosiologi_even,grade_geografi_odd,kkm_geografi_odd,grade_geografi_even,kkm_geografi_even,grade_ekonomi_odd,kkm_ekonomi_odd,grade_ekonomi_even,kkm_ekonomi_even,grade_matematika_odd,kkm_matematika_odd,grade_matematika_even,kkm_matematika_even,grade_bahasa_inggris_odd,kkm_bahasa_inggris_odd,grade_bahasa_inggris_even,kkm_bahasa_inggris_even,grade_bahasa_indonesia_odd,kkm_bahasa_indonesia_odd,grade_bahasa_indonesia_even,kkm_bahasa_indonesia_even,grade_bahasa_mandarin_odd,kkm_bahasa_mandarin_odd,grade_bahasa_mandarin_even,kkm_bahasa_mandarin_even,grade_bahasa_jepang_odd,kkm_bahasa_jepang_odd,grade_bahasa_jepang_even,kkm_bahasa_jepang_even,grade_bahasa_korea_odd,kkm_bahasa_korea_odd,grade_bahasa_korea_even,kkm_bahasa_korea_even,grade_bahasa_jerman_odd,kkm_bahasa_jerman_odd,grade_bahasa_jerman_even,kkm_bahasa_jerman_even,name,status
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75,79,75,81,75,84,75,87,75,87,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
77,75,93,75,69,75,81,75,78,75,78,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,70,39,70,71,70,79,70,73,70,77,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,77,70,75,70,75,70,82,70,74,70,75,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,70,82,70,84,70,85,70,75,70,74,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
83,70,83,70,72,70,72,70,76,70,79,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,67,76,67,73,67,78,67,74,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
69,67,68,67,60,67,67,67,67,67,68,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,75,85,75,79,75,82,75,86,75,98,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
85,75,83,75,76,75,85,75,88,75,84,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,75,82,75,79,75,90,75,86,75,85,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sistem Informasi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,75,82,75,79,75,90,75,86,75,85,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sistem Komputer,0
0,0,0,0,0,0,0,0,0,0,0,0,85,75,82,75,90,75,83,75,90,75,88,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sistem Informasi,0
0,0,0,0,0,0,0,0,0,0,0,0,85,75,82,75,90,75,83,75,90,75,88,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sistem Komputer,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,75,91,75,84,75,88,75,88,75,90,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manajemen,0
0,0,0,0,0,0,0,0,0,0,0,0,87,75,86,75,89,75,91,75,86,75,87,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manajemen,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,75,94,75,91,75,95,75,86,75,86,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sistem Komputer,0
92,75,90,75,90,75,90,75,86,75,90,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sistem Komputer,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,70,39,70,71,70,79,70,73,70,77,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,77,70,75,70,75,70,82,70,74,70,75,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,73,79,73,74,73,76,73,79,73,82,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
79,73,82,73,77,73,81,73,78,73,82,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,70,79,70,88,70,85,70,79,70,83,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
81,70,81,70,74,70,71,70,75,70,78,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,73,77,73,78,73,84,73,86,73,84,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,83,73,77,73,81,73,79,73,92,73,87,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,73,91,73,73,73,73,73,70,73,80,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ilmu Hukum,0
68,73,84,73,73,73,70,73,74,73,79,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ilmu Hukum,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,70,86,70,83,70,85,70,82,70,82,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
82,70,84,70,84,70,88,70,85,70,86,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,70,67,70,73,70,75,70,64,70,75,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,68,70,74,70,70,70,72,70,60,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,75,78,75,72,75,74,75,79,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
81,75,78,75,75,75,76,75,80,75,76,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,83,75,75,75,76,75,80,75,81,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,83,75,79,75,85,75,85,75,81,75,86,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,72,77,72,80,72,79,72,78,72,81,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,81,72,81,72,76,72,73,72,77,72,75,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,75,88,75,84,75,84,75,85,75,86,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
86,75,87,75,82,75,85,75,86,75,87,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,72,84,70,82,72,85,70,82,72,85,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
83,72,87,70,82,72,77,70,89,72,88,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,86,70,71,70,91,70,85,70,85,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
76,70,84,70,73,70,87,70,74,70,90,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,73,86,73,92,73,93,73,83,73,84,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
91,73,92,73,88,73,87,73,83,73,84,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,75,87,75,78,75,80,75,82,75,90,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
83,75,84,75,82,75,86,75,82,75,85,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,78,88,78,86,78,85,78,88,78,90,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
84,78,84,78,86,78,88,78,85,78,85,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psikologi,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,70,78,70,80,70,82,70,81,70,83,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
78,70,76,70,77,70,74,70,82,70,83,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,68,73,75,84,82,83,82,67,67,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
90,83,75,79,80,76,80,87,85,74,80,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,82,75,90,75,88,75,93,75,98,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
86,75,90,75,90,75,96,75,88,75,88,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pendidikan Dokter,0
